,Touchscreen Display,Screen Size,Processor Type,Weight,Year of Original Release,Processor Cores,Colour,Convertible/Hybrid Display,2-in-1,windows laptop,macbook,macbook_air,macbook_pro,surface,chromebook,gaming_laptop
885,0,0,AMD A4-9120C,0,0,2,0,0,0,0,0,0,0,0,1,0
892,0,0,Core i5,0,0,0,0,0,0,0,0,0,0,0,1,0
893,0,0,Core i3,0,0,0,0,0,0,0,0,0,0,0,1,0
901,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,1,0
902,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,1,0
903,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,1,0
904,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,1,0
905,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,1,0
906,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,1,0
907,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,1,0
908,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,1,0
909,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,1,0
910,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
911,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,1,0
912,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,1,0
913,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,1,0
914,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,1,0
915,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,1,0
916,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,1,0
917,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,1,0
918,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,1,0
919,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,1,0
920,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,1,0
921,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0
922,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,1,0
1022,0,0,Intel Core i7 8750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1037,0,0,Intel Core i7 9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1038,0,0,Intel Core i7 9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1039,0,0,Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1
1040,0,0,Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1
1041,0,0,Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1
1045,0,0,Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1
1046,0,0,Intel Core i5 8300H,0,0,4,0,0,0,0,0,0,0,0,0,1
1064,0,0,"9th Generation Intel® Core™ i7-9750H (6-Core, 12MB Cache, up to 4.5GHz w/ Turbo Boost)",0,0,0,0,0,0,0,0,0,0,0,0,1
1065,0,0,"9th Generation Intel® Core™ i7-9750H (6-Core, 12MB Cache, up to 4.5GHz w/ Turbo Boost)",0,0,0,0,0,0,0,0,0,0,0,0,1
1066,0,0,"9th Generation Intel® Core™ i7-9750H (6-Core, 12MB Cache, up to 4.5GHz w/ Turbo Boost)",0,0,0,0,0,0,0,0,0,0,0,0,1
1067,0,0,Intel Core i9-9900K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1068,0,0,Intel Core i9-9900K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1069,0,0,Intel Core i7-8750H CPU @ 2.20GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1070,0,0,Intel Core i7-8750H CPU @ 2.20GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1076,0,0,Intel Core i7-9700K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1077,0,0,Intel Core i7-9700 CPU @ 3.00GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1078,0,0,Intel Core i7-7700HQ CPU @ 2.80GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
1079,0,0,Intel Core i7-9700K CPU @ 3.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
