,Screen Size,Native Screen Resolution,Touchscreen Display,Convertible/Hybrid Display,Processor Type,Processor Cores,Processor Speed,Storage Drive Type,2-in-1,Processor Cache,Other Display Features,Year of Original Release,Display Type,Touchscreen,3D Capable Display,Screen Finish,Built-in Storage - Capacity GB,Built-in Storage Type,Solid-State Drive Capacity,RAM Size,RAM,Graphics Card,ENERGY STAR Qualified,Built-in Memory Card Reader,USB Ports,Integrated Wi-Fi,Webcam,Keyboard Language,Backlit Keyboard,Hard Disk Drive Capacity,Hard Drive Speed (Revolutions Per Minute),Colour,Optical Drive,Front Camera Still Resolution,Integrated Bluetooth,Approximate Battery Life,Pre-loaded Operating System,Compatible Memory Card Types,Operating System Language,Card Reader,Ethernet Port,Video Memory Configuration,Battery Type,Width,Height,Weight,Operating System,windows laptop,Type,Digital Download,CPU,Memory (RAM),Graphics,Disk Space,Internal or External,Other Input or Output Ports,Display Ports,HDCP Compliant,VR Ready,macbook,macbook_air,External Controls & Buttons,Wireless Carrier,Product Condition,Dedicated Video Memory Size,macbook_pro,Loaded Software,Wireless Display (WiDi) Capable,surface,chromebook,Battery - Number of Cells,gaming_laptop
27,13.5 in,3000 x 2000,Yes,Yes,Intel Core i7-8650U Quad-Core,4,1.9 GHz,,1.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11.6 in,1366 x 768,Yes,Yes,Intel® Celeron® N3050,2,1.6 GHz,,1.0,2 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13.3 in,3840 x 2160,Yes,Yes,Intel Core i7-10510U,4,1.80 GHz,,1.0,,13.3-inch UHD (3840 x 2160) Truelife Touch Narrow Border WVA Display with Active Pen support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
30,13 in,"13.3"" FHD (1920 x 1080) Anti-G lare, Embedded Touch , WVA ,IR Camera & Microphone, WLAN Cap able",Yes,,"Intel Core i3-6006U Processor (Dual Core, 2.0GHz, 3M cache,1 5W)",2,,,1.0,,,,,,,,,,128 GB,,4 GB,Intel HD Graphics 520,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
31,11.6 in,1366 x 768,Yes,Yes,Intel Core i5 - 4200U,2,1.6 GHz,,1.0,3 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11.6 in,1366x768,Yes,Yes,Intel Core i5 4200u,2,1.6 GHz,,1.0,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
33,14.0 in,1920 x 1080,Yes,Yes,8th Generation Intel Core i5-8265U,4,1.6 GHz,,1.0,,FHD IPS micro-edge WLED-Backlit Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12.5 in,1920 x 1080,Yes,Yes,Intel Core i7-4600U,2,2.1 GHz,,1.0,4MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
35,13.3 in,1920 x 1080,Yes,Yes,Intel Core i5 - 7200U,2,,,1.0,3 MB,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
36,15.6 in,(1366 x 768),Yes,No,Intel Core i5-1035G1,4,1.30 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,15.6 in,1920 x 1080,Yes,No,Intel Core i3-8130U,2,2.20 GHz,,,,15.6-inch FHD (1920 x 1080) Truelife LED-Backlit On-cell Touch Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,15.6 in,1920 x 1080,Yes,No,Intel Core i3-8130U,2,2.2 GHz,,,,"15.6-inch FHD (1920 x 1080) Truelife, LED-Backlit On-cell Touch Display",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
39,15.6 in,1366 x 768,No,No,Intel Core i3-8130U,2,2.2 GHz,,,4 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
40,15.6 in,1920 x 1080,No,No,Intel Core i5-8265U,4,1.6 GHz,,,6 MB Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
41,15.6 in,1920 x 1080,No,No,Intel Core i5-8265U,4,1.6 GHz,,,,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
42,15.6 in,1920 x 1080,No,No,Intel Core i5-8265U,4,1.6 GHz,,,,FHD; Matte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
43,15.6 in,1920 x 1080,No,No,Intel Core i5-8265U,4,,,,6 MB Smart Cache,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
44,14.0 in,1920 x 1080,No,No,Intel Core i5-8265U,4,1.6 GHz,,,,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
45,14.0 in,1920 x 1080,No,No,Intel Core i5-8265U,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
46,14 in,1920 x 1080,No,No,Intel Core i5-8265U,4,1.6 GHz,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
47,15.6 in,1366 x 768,No,No,Intel Core i5-8265U,4,1.6 GHz,,,,15.6-inch HD (1366 x 768) Anti-Glare LED-Backlit Non-touch Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
48,15.6 in,1366 x 768,Yes,No,Intel Core i5-8265U,4,1.60 GHz,,,,15.6-inch HD (1366 x 768) Truelife LED-Backlit On-Cell Touch Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
49,14.0 in,1920x1080,No,No,Intel Core i5-8265U,4,1.6 GHz,,,,"FHD, Glossy, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
50,15.6 in,1920 x 1080,No,No,Intel Core i7-8565U,4,1.6 GHz,,,6 MB Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
51,15.6 in,1920 x 1080,No,No,Intel Core i7-8565U,4,1.8 GHz,,,,200nits; FHD 16:9; Anti-Glare; NTSC: 45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
52,15.6 in,1920 x 1080,No,No,Intel Core i7-8565U,4,1.8 GHz,,,,250nits//FHD 16:9//Anti-Glare//NTSC: 45%//Wide View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
53,15.6 in,1920 x 1080,No,No,Intel Core i7-8565U,4,1.80 GHz,,,,15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Narrow Border IPS Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
54,14.0 in,1920 x 1080,,No,Intel Core i7-8565U,4,1.8 GHz,,,,Narrow border; Bend+300nits; FHD 16:9; Glare; NTSC: 72%; Wide View,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
55,15.6 in,1920x1080,No,No,Intel Core i7-8565U,4,1.8 GHz,,,,Narrow border//300nits//FHD 16:9//Glare//NTSC: 72%//Wide View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
56,14.0 in,1920x1080,No,No,Intel Core i7-8565U,4,1.8 GHz,,,,Narrow border//Bend+300nits//FHD 16:9//Glare//NTSC: 72%//Wide View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
57,14.0 in,1920x1080,,No,Intel Core i7-8565U,4,1.8 GHz,,,,Narrow border//Bend+300nits//FHD 16:9//Glare//NTSC: 72%//Wide View,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
58,17.3 in,1920x1080,Yes,,Intel Core i7-8565U,4,1.8 GHz,,,8MB Intel Smart Cache,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
