,Screen Size,Native Screen Resolution,Touchscreen Display,Convertible/Hybrid Display,Processor Type,Processor Cores,Processor Speed,Storage Drive Type,2-in-1,Processor Cache,Other Display Features,Year of Original Release,Display Type,Touchscreen,3D Capable Display,Screen Finish,Built-in Storage - Capacity GB,Built-in Storage Type,Solid-State Drive Capacity,RAM Size,RAM,Graphics Card,ENERGY STAR Qualified,Built-in Memory Card Reader,USB Ports,Integrated Wi-Fi,Webcam,Keyboard Language,Backlit Keyboard,Hard Disk Drive Capacity,Hard Drive Speed (Revolutions Per Minute),Colour,Optical Drive,Front Camera Still Resolution,Integrated Bluetooth,Approximate Battery Life,Pre-loaded Operating System,Compatible Memory Card Types,Operating System Language,Card Reader,Ethernet Port,Video Memory Configuration,Battery Type,Width,Height,Weight,Operating System,windows laptop,Type,Digital Download,CPU,Memory (RAM),Graphics,Disk Space,Internal or External,Other Input or Output Ports,Display Ports,HDCP Compliant,VR Ready,macbook,macbook_air,External Controls & Buttons,Wireless Carrier,Product Condition,Dedicated Video Memory Size,macbook_pro,Loaded Software,Wireless Display (WiDi) Capable,surface,chromebook,Battery - Number of Cells,gaming_laptop
167,15.6 in,1366 x 768,No,Yes,10th Gen Intel Core i3-1005G1,2,1.2 GHz,,,4 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
168,15.6 in,1366 x 768,No,No,10th Gen Intel Core i5-1035G1,4,1.0 GHz,,,86 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
169,15.6 in,1366 x 768,No,No,10th Gen Intel Core i5-1035G1,4,1.8 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
170,15.6 in,1366 x 768,No,No,10th Generation Intel Core i5-1035G1,4,1.0 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
171,15.6 in,1366 x 768,No,No,AMD A6-9220e,2,1.6 GHz,,,1 MB L2 cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
172,14 in,1366 x 768,No,No,AMD A6-9220e,2,1.6 GHz,,,1 MB L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
173,15.6 in,1366 x 768,No,No,8th Gen Intel Core i5-8265U,4,1.6 GHz,,,,"- Size / Resolution/ Surface Type/ Brightness : 15.6"" HD (1366x768) - Anti-glare TN- Aspect Ratio : 16:9- Contrast: 400:1- Viewing Angle: 90°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
174,15.6 in,1366 x 768,No,No,10th Generation Intel Core i7-1065G7,4,1.3 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
175,15.6 in,1366 x 768,No,No,10th Gen Intel Core i7-1065G7,4,1.3 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
176,15.6 in,1366 x 768,No,No,Intel Core i3-8145U,2,2.1 GHz,,,4 MB Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
177,15.6 in,1366 X 768 (HD),No,No,Intel Core i3-8145U,2,2.1 GHz,,,,,,,,,,,,,,,,,,,,,,,1 TB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
178,15.6 in,1920 X 1080 (FHD),No,No,Intel Core i3-8145U,2,2.1 GHz,,,,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
179,15.6 in,1366 x 768,No,No,AMD A4-9125 Dual-Core,2,2.3 GHz,,,1 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
180,15.6 in,1366 x 768,No,No,AMD A9-9420e,2,1.8 GHz,,,1 MB L2 cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
181,15.6 in,1366 x 768,No,No,AMD A9-9420e,2,1.8 GHz,,,1 MB L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
182,14 in,1366 x 768,No,,AMD A9-9420e,2,1.8 GHz,,,1 MB L2,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
183,15.6 in,1366 x 768,No,No,AMD Quad Core A12-9720P,4,2.7 GHz,,,,Ultra Slim 200nits; HD 16:9; Anti-Glare; NTSC: 45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
184,15.6 in,1366 x 768,No,No,AMD Quad Core A12-9720P,4,2.7 GHz,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
185,15.6 in,1366 x 768,No,No,8th Generation Intel Core i3-8145U,2,2.1 GHz,,,4 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
186,15.6 in,1366 x 768,No,No,AMD A4-9120E,2,1.5 GHz,,,1Mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
187,15.6 in,1366 x 768,No,,AMD A9-9420E,2,2.5 GHz,,,1Mb,,,,,,,,,,,,,,,,,,,,1000 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
188,15.6 in,1366 x 768,No,No,Pentium 5405U,2,2.30 GHz,,,2 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
189,15.6 in,1366 x 768,No,No,AMD E2-9000,2,2.2 GHz,,,1 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
190,15.6 in,1366 x 768,,,AMD E1 6010,2,1.35 GHz,,,1 MB L2,,,,,,,,,,4 GB,,,,,,,,,,320 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
191,15.6 in,1366 x 768,,,Intel Core i3-5010U,2,2.1 GHz,,,3MB,,,,,,,,,,8 GB,,,,,,,,,,500 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192,15.6 in,1366 x 768,Yes,,Intel 8th Generation Core i5-8265U,4,1.6 GHz,,,6 MB Intel® Smart Cache,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
193,15.6 in,1366 x 768,No,,AMD A9-9425,2,3.1 GHz,,,1MB L2,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
194,15.6 in,1366 x 768,No,No,AMD Ryzen 3 2200U,2,2.5 GHz,,,,HD SVA BrightView WLED-backlit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
195,,1366 x 768,No,No,Intel Celeron N4000,2,,,,,,,,,,,,,,,LPDDR4,Intel UHD Graphics 600,,,,,,,,,,,,,,,,,,,,Integrated,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
196,,1366 x 768,No,No,Intel Celeron N4000,2,,,,,,,,,,,,,,,LPDDR4,Intel HD,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
197,,1366 x 768,No,No,Intel I5-4300u,2,,,,,,,,,,,,,,,8Gb DDR3,,,,,,,,,,not applicable,,no,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
198,,1366 x 768,,,Intel Celeron N4000,,,,,,,,,,,,,,,,4 GB (LPDDR4),Intel UHD Graphics,,,,802.11ac,,,,,,,,,Yes - 4.1,,,,,,,Integrated,1 x 38 Wh Lithium-ion,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
199,,1366 x 768,No,,Intel Core i3 4005U,2,,,,,,,,,,,,,,8 GB,8 GB,Intel HD Graphics 4400,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
200,,1366 x 768,No,,Intel Core i3 4005U,2,,,,,,,,,,,,,,4 GB,4 GB,Intel HD Graphics 4400,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
201,,1366 x 768,No,,Intel Core i5 3210M,2,,,,,,,,,,,,,,8 GB,8GB,Intek HD Graphics 4000,,,,,,,,,,,DVD,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
202,,1366 x 768,No,,Intel Core i5 4210M,2,,,,,,,,,,,,,,8 GB,8 GB DDR3,Intel HD Graphics 4600,,,,,,,,,,,DVD RW,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
203,,1366 x 768,No,,AMD Dual-Core R3-2200U,2,2.5 GHz,,,,HD; Matte,,,,,,,,128 GB,,,,,,,,,,,,Not Applicable,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
204,,1366 x 768,No,No,7th Generation AMD A6-9225 Processor,2,,,,1 MB,,,,,,,,,,,8 GB DDR4-1866 SDRAM,,,,,,,,,,5400 rpm,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
205,,1366 x 768,No,No,AMD A4-9125 Dual-Core,2,,,,1 MB,,,,,,,,,,,DDR4-1866 SDRAM (1 x 4 GB),,,,,,,,,,5400 rpm,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
206,14 in,1366 x 768,No,No,Intel Celeron N4000,2,1.1 GHz,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
207,11.6 in,1366 x 768,No,No,Intel Celeron N4000,2,1.1 GHz,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
208,14.0 in,1366 x 768,No,,Intel Celeron N4000,2,1.1 GHz,,,,HD; Matte,,,,,,,,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
209,13.3 in,1366 x 768,Yes,Yes,Intel Celeron N4000,2,2.8 GHz,,,,"HD SVA anti-glare WLED-backlit touch screen, 220 nits, 45% NTSC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
210,11.6 in,1366 x 768,No,,Intel Celeron N4000,2,1.1 GHz,,,4 MB,"11.6"" diagonal HD SVA anti-glare WLED-backlit, 220 cd/m², 67% sRGB (1366 x 768)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
211,14 in,1366 x 768,No,No,Intel Core i5 (8th Gen),4,1.6 GHz,,,,,,,,,,,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
212,14 in,1366 x 768,No,No,Intel Core i5-4300U,2,1.9 GHz,,,3 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
213,14 in,1366x768,No,No,Intel Core i5-4300U,2,1.9 GHz,,,3M Cache L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
214,14 in,1600 x 900 HD+ Resolution,Yes,No,Intel Core i5-4300U,2,1.9 GHz,,,,LED Backlit Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
215,14 in,1366 x 768,,,Intel Core i5-4300U,2,1.9 GHz,,,3,,,,,,,,,256 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
216,12.5 in,1366 x 768,,No,Intel Core i5-4300U,2,1.9 GHz,,,,,,,,,,,,128 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
217,14 in,1366 x 768,No,No,AMD Ryzen 3 3200U,2,2.6 GHz,,,,14 Inch Diagonal HD SVA BrightView Micro-Edge; WLED-Backlit; 220 nits; 45% NTSC (1366 x 768),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
218,14.0 in,1366 x 768,No,No,AMD Ryzen 3 3200U,2,2.6 GHz,,,,HD SVA BrightView micro-edge WLED-backlit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
219,14.0 in,1366 x 768,No,No,AMD Ryzen 3 3200U,2,2.6 GHz,,,5 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
220,14 in,1366 x 768,No,No,Intel Core i5-3320M,2,2.6 GHz,,,3MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
221,14 in,1366 X 768,No,No,Intel Core i5-3320M,2,2.60 GHz,,,,,,,,,,,,,,,,,,,,,,,320 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
222,14 in,1366 x 768,No,No,Intel Core i5 - 4200M,2,2.5 GHz,,,3 MB Smartcache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
223,14 in,1366 x 768,No,No,Intel® Core™  i5-1035G7,4,1.2 GHz,,,6 MB Intel® Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
224,14 in,1366 x 768,No,No,Intel Core i5-6300u,,2.5 GHz,,,3MB,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
225,14 in,1366 x 768,,,Core i5-4300U,,1.9 GHz,,,,,,,,,,,,128 GB,4 GB,4,Intel HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
226,14 in,1366 x 768,,,AMD A-Series A9-9420e,2,,,,1 MB L2,,,,,,,,,128 GB,12 GB,DDR4,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
227,14 in,1366 x 768,,,Intel Core i5-4310M,2,2.6 GHz,,,,,,,,,,,,,8 GB,8 GB PC3L-12800,,,,,,,,,500 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
228,14 in,1366 x 768,No,,Intel Core i5 4300u,2,1.90 GHz,,,,,,,,,,,,,8 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
229,14 in,1366 x 768,No,No,Intel Celeron N3060,,1.6 GHz,,,,,,,,,,,,32 GB,4 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
230,14 in,1366 x 768,No,,Intel Celeron Dual Core N3350,,1.1 GHz,,,,,,,,,,,,32 GB,2 GB,,,,,,,,,,32 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
231,14 in,1366 x 768,,,Intel Core i5-6200U,2,,,,3 MB,,,,,,,,,,,DDR4,,,,,,,,,500 GB,7200 rpm,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
232,14 in,1366 x 768,Yes,,Intel Core i5-4300u,2,1.9 GHz,,,,,,,,,,,,240 GB,16 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
233,14 in,1366 x 768,,,Intel Core i5-5300U,,,,,3MB Cache,,,,,,,,,,8 GB,8GB DDR3,,,,,,,,,500 GB,,,,,,,,,,Yes,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
234,14.1 in,1366 x 768,,,Intel Core i5-5300U,,2.3 GHz,,,,,,,,,,,,240 GB,8 GB,8GB DDR3,,No,,,,,English,No,,,,,,,,,,,,,Integrated,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,HDMI,,,,,,,,,,,,,,,,
235,14.0 in,1366 x 768,No,No,AMD A4-9125,2,2.3 GHz,,,1 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
236,15.6 in,1366 X 768 (HD),No,No,AMD A4-9125,2,2.3 GHz,,,,,,,,,,,,,,,,,,,,,,,500 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
237,14.0 in,1366 x 768,No,No,Intel Dual-Core Celeron N3060,2,1.6 GHz,,,,HD; Matte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
238,15.6 in,1366 x 768,,,Intel i3-8130U,2,,,,,,,,,,,,,,,12 GB,Intel UHD Graphics 620,,,,802.11.b/g/n/ac,,,,1000 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
239,11.6 in,1366 x 768,No,No,Intel Celeron Processor N4000,,1.1 GHz,,,4 MB,,,,,,,,,,,,,,,,,,,,,2 RPM,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
240,11.6 in,1366 x 768,No,No,Intel Celeron N3855U,2,1.6 GHz,,,2 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
241,11.6 in,1366 x 768,,,Intel® Celeron® Processor N3050,,1.60 GHz,,,2MB L2 Cache,,,,,,,,,,2 GB,,,,,,,,,,16 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,1 X HDMI,,,,,,,,,,,,,,,
242,13.3 in,1366 x 768,,,Intel Celeron 2957U,2,1.40 GHz,,,,,,,,,,,,,4 GB,4GB DDR3,,,,,,,,,500 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
243,14.1 in,1366 x 768,,,AMD A6 4400M,2,2.70 GHz,,,1 MB,,,,,,,,,,4 GB,,,,,,,,,,320 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
244,14.1 in,1366 x 768,,,Intel Core i5-4310U,2,,,,3 MB,,,,,,,,,,8 GB,8 GB PC3L-12800,,,,3 x USB 3.0,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
245,12.5 in,1366 x 768,No,,Intel Core i5 5300U,,2.30 GHz,,,,,,,,,,,,256 GB,,8 GB,,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
246,12.5 in,1366 x 768,No,,Intel Core i5 5300U,,2.30 GHz,,,,,,,,,,,,128 GB,,8 GB,,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
247,12.5 in,1366 x 768,,,Intel Core i7-4600U,2,2.1 GHz,,,4 MB SmartCache,,,,,,,,,,8 GB,8,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
248,14 in,,No,,Intel Core i7-4600U,4,2.6 GHz,,,,,,,,,,,,480 GB,8 GB,8,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
249,14 in,,No,,Intel Core i7-4600U,4,2.6 GHz,,,,,,,,,,,,240 GB,8 GB,8,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
250,15 in,1366 x 768,Yes,,Intel® Core™ i5-8265U,4,1.6 GHz,,,6 MB Intel® Smart Cache,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
251,15 in,1366 x 768,Yes,,Intel® Core™ i5-8265U,4,1.6 GHz,,,6 MB Intel® Smart Cache,,,,,,,,,,,,,,,,,,,,1000 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
252,14 in,1366 x 768,No,,Intel Core i5 3210M,2,,,,,,,,,,,,,,8 GB,8 GB,,,,,,,,,,,,DVD ROM,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
253,,1366 x 768,No,No,Intel Core i3-8145U,2,,,,4 MB Smart Cache,,,,,,,,,,,8GB DDR4,,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
254,12.5 in,1366 x 768,,,Intel Core i7-4600u,,2.1 GHz,,,4MB,,,,,,,,,240 GB,8 GB,8GB DDR3,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
255,,1366 x 768,,,Intel Core i5 2520M,2,,,,,,,,,,,,,,8 GB,8GB,Intel HD Graphics 3000,,,,,,,,,,,DVD ROM,,,,,,,Memory Card Reader,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
256,14 in,1366 x 768,,,Intel® Core™  i5-1035G4,4,,,,6 MB Intel® Smart Cache,,,,,,,,,128 GB,,4 GB,Intel® Iris® Plus Graphics,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
257,15.6 in,1366 x 768,No,No,Intel Celeron N3450,,1.1 GHz,,,2 MB,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
258,,1920x1080,No,No,Intel Core i5-8265U,4,,,,,"FHD, Glossy, WV",,,,,,,,,,LPDDR3,,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
259,15.6 in,1920x1080,Yes,No,Intel i5-1035G1,4,3.6 GHz,,,,Touchscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
260,15.6 in,1920x1080,No,,Intel Core i5-4300M,2,2.6 GHz,,,3M SmartCache L2,,,,,,,,,240 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
261,15.6 in,1920x1080,No,,Intel Core i5-4300M,2,2.6 GHz,,,3M SmartCache L2,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
262,15.6 in,1920x1080,No,,Intel Core i5-4300M,2,2.6 GHz,,,3M SmartCache L2,,,,,,,,,,,,,,,,,,,,500 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
